episode,timestep,reward
2450,249696,0.55
2452,249984,0.0
2455,250272,0.1854
2457,250560,0.0
2460,250848,0.4146
2464,251136,0.5563
2467,251424,0.25
2469,251712,0.0
2472,252000,0.5083
2475,252288,0.2104
2478,252576,0.4771
2480,252864,0.1969
2482,253152,0.0
2486,253440,0.4031
2488,253728,0.2938
2491,254016,0.2375
2494,254304,0.1562
2496,254592,0.25
2499,254880,0.2354
2501,255168,0.3625
2505,255456,0.3578
2507,255744,0.0
2509,256032,0.4062
2511,256320,0.0
2513,256608,0.0
2515,256896,0.0
2517,257184,0.0
2519,257472,0.0
2523,257760,0.3234
2526,258048,0.4042
2529,258336,0.3792
2533,258624,0.4391
2536,258912,0.3125
2539,259200,0.4562
2541,259488,0.0
2543,259776,0.0
2546,260064,0.3104
2548,260352,0.3656
2551,260640,0.2312
2556,260928,0.6262
2558,261216,0.0
2560,261504,0.0
2565,261792,0.495
2572,262080,0.7634
2574,262368,0.0
2576,262656,0.0
2578,262944,0.0
2580,263232,0.0
2582,263520,0.0
2585,263808,0.2917
2589,264096,0.6266
2591,264384,0.0
2593,264672,0.2406
2596,264960,0.1438
2598,265248,0.0
2602,265536,0.4531
2604,265824,0.3906
2606,266112,0.0
2610,266400,0.4484
2615,266688,0.57
2618,266976,0.4354
2620,267264,0.0
2623,267552,0.3
2625,267840,0.0
2631,268128,0.7042
2633,268416,0.0
2637,268704,0.4172
2639,268992,0.0
2642,269280,0.5229
2644,269568,0.0
2646,269856,0.0
2648,270144,0.0
2652,270432,0.3609
2654,270720,0.4281
2656,271008,0.0
2659,271296,0.2771
2661,271584,0.0
2664,271872,0.2792
2668,272160,0.3781
2670,272448,0.0
2672,272736,0.3187
2676,273024,0.4234
2679,273312,0.3
2681,273600,0.0
2685,273888,0.5312
2688,274176,0.5792
2691,274464,0.2521
2694,274752,0.2458
2697,275040,0.2604
2702,275328,0.6813
2710,275616,0.7219
2712,275904,0.3344
2716,276192,0.4
2719,276480,0.3292
2721,276768,0.0
2723,277056,0.0
2727,277344,0.6375
2729,277632,0.0
2732,277920,0.2687
2738,278208,0.6823
2741,278496,0.2792
2743,278784,0.3375
2747,279072,0.3781
2754,279360,0.6964
2758,279648,0.6641
2762,279936,0.3578
2766,280224,0.6172
2769,280512,0.5104
2772,280800,0.2875
2777,281088,0.5437
2779,281376,0.0
2784,281664,0.555
2786,281952,0.0
2788,282240,0.0
2790,282528,0.375
2792,282816,0.0
2795,283104,0.2667
2797,283392,0.0
2800,283680,0.3062
2802,283968,0.2688
2808,284256,0.5823
2810,284544,0.0
2813,284832,0.2125
2815,285120,0.4188
2817,285408,0.0
2819,285696,0.0
2823,285984,0.4469
2825,286272,0.0
2830,286560,0.565
2832,286848,0.0
2835,287136,0.275
2837,287424,0.0
2839,287712,0.3375
2841,288000,0.0
2843,288288,0.0
2847,288576,0.4062
2849,288864,0.2812
2853,289152,0.3516
2855,289440,0.0
2857,289728,0.3656
2859,290016,0.0
2861,290304,0.0
2863,290592,0.0
2866,290880,0.2708
2870,291168,0.4266
2872,291456,0.2219
2874,291744,0.0
2878,292032,0.4437
2880,292320,0.0
2882,292608,0.0
2884,292896,0.0
2887,293184,0.2104
2889,293472,0.0
2891,293760,0.4656
2895,294048,0.3594
2898,294336,0.4167
2901,294624,0.3
2904,294912,0.4479
2907,295200,0.2042
2909,295488,0.0
2912,295776,0.3042
2914,296064,0.1687
2917,296352,0.2792
2921,296640,0.4531
2923,296928,0.4656
2926,297216,0.2063
2929,297504,0.5292
2931,297792,0.0
2937,298080,0.5844
2939,298368,0.2062
2944,298656,0.4912
2946,298944,0.0
2948,299232,0.3844
2950,299520,0.0
2952,299808,0.0
2954,300096,0.0
2958,300384,0.4234
2960,300672,0.0
2963,300960,0.4646
2965,301248,0.0
2968,301536,0.3042
2970,301824,0.0
2972,302112,0.1562
2974,302400,0.0
2976,302688,0.0
2979,302976,0.1146
2981,303264,0.0
2983,303552,0.0
2986,303840,0.5687
2988,304128,0.0
2991,304416,0.2771
2993,304704,0.0
2995,304992,0.0
2997,305280,0.0
2999,305568,0.1687
3001,305856,0.0
3004,306144,0.1333
3006,306432,0.0
3008,306720,0.2875
3010,307008,0.0
3014,307296,0.3672
3017,307584,0.5292
3019,307872,0.0
3021,308160,0.0
3023,308448,0.0
3025,308736,0.0
3028,309024,0.2604
3030,309312,0.0
3033,309600,0.2938
3035,309888,0.1188
3037,310176,0.0
3039,310464,0.0
3042,310752,0.2958
3046,311040,0.5594
3049,311328,0.2958
3051,311616,0.0
3054,311904,0.3083
3056,312192,0.0
3058,312480,0.0
3061,312768,0.2938
3063,313056,0.0938
3065,313344,0.0
3069,313632,0.4797
3072,313920,0.475
3074,314208,0.0
3077,314496,0.2958
3079,314784,0.0
3082,315072,0.2646
3086,315360,0.6531
